T27,Gross domestic expenditure on research and development (R&D),,,,,
196,Cyprus,2015,Gross domestic expenditure on R & D: Business enterprises (%),20.0455,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2015,Gross domestic expenditure on R & D: Government (%),50.5605,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2015,Gross domestic expenditure on R & D: Higher education (%),5.7735,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2015,Gross domestic expenditure on R & D: Private non-profit (%),0.6332,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2015,Gross domestic expenditure on R & D: Funds from abroad (%),22.9874,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2017,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.5609,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2017,Gross domestic expenditure on R & D: Business enterprises (%),32.7617,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2017,Gross domestic expenditure on R & D: Government (%),38.4833,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2017,Gross domestic expenditure on R & D: Higher education (%),5.3578,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2017,Gross domestic expenditure on R & D: Private non-profit (%),0.8756,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2017,Gross domestic expenditure on R & D: Funds from abroad (%),22.5216,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
196,Cyprus,2018,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.5586,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
203,Czechia,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.1684,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
203,Czechia,2005,Gross domestic expenditure on R & D: Business enterprises (%),48.1953,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
203,Czechia,2005,Gross domestic expenditure on R & D: Government (%),45.2168,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
203,Czechia,2005,Gross domestic expenditure on R & D: Higher education (%),1.1891,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
203,Czechia,2005,Gross domestic expenditure on R & D: Private non-profit (%),0.0056,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
203,Czechia,2005,Gross domestic expenditure on R & D: Funds from abroad (%),5.3932,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
203,Czechia,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.3369,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
203,Czechia,2010,Gross domestic expenditure on R & D: Business enterprises (%),40.7691,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
203,Czechia,2010,Gross domestic expenditure on R & D: Government (%),44.4351,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
203,Czechia,2010,Gross domestic expenditure on R & D: Higher education (%),0.8524,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
203,Czechia,2010,Gross domestic expenditure on R & D: Private non-profit (%),0.0187,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
203,Czechia,2010,Gross domestic expenditure on R & D: Funds from abroad (%),13.9247,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
203,Czechia,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.9292,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
203,Czechia,2015,Gross domestic expenditure on R & D: Business enterprises (%),34.5256,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
203,Czechia,2015,Gross domestic expenditure on R & D: Government (%),32.2145,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
203,Czechia,2015,Gross domestic expenditure on R & D: Higher education (%),0.7081,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
203,Czechia,2015,Gross domestic expenditure on R & D: Private non-profit (%),0.0526,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
203,Czechia,2015,Gross domestic expenditure on R & D: Funds from abroad (%),32.4992,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
203,Czechia,2018,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.9283,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
203,Czechia,2018,Gross domestic expenditure on R & D: Business enterprises (%),32.9937,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
203,Czechia,2018,Gross domestic expenditure on R & D: Government (%),34.0976,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
203,Czechia,2018,Gross domestic expenditure on R & D: Higher education (%),1.0331,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
203,Czechia,2018,Gross domestic expenditure on R & D: Private non-profit (%),0.0860,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
203,Czechia,2018,Gross domestic expenditure on R & D: Funds from abroad (%),31.7895,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
180,Dem. Rep. of the Congo,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.0580,Break in the time series.;Government only.;S&T budget instead of R&D expenditure.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
180,Dem. Rep. of the Congo,2005,Gross domestic expenditure on R & D: Government (%),100.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
180,Dem. Rep. of the Congo,2009,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.0782,Government only.;S&T budget instead of R&D expenditure.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
180,Dem. Rep. of the Congo,2009,Gross domestic expenditure on R & D: Government (%),100.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
180,Dem. Rep. of the Congo,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.4064,Break in the time series.;Excluding business enterprise.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
180,Dem. Rep. of the Congo,2015,Gross domestic expenditure on R & D: Business enterprises (%),0.0425,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
